TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG Ratio,VALOR DE MERCADO
ABCB4,16.45,8.49,4.65,0.71,0.07,35.76,27.56,19.63,3.31,3.31,0.0,0.0,0.91,0.99,-0.07,3.58,15.37,1.41,0.0,0.09,0.91,0.07,13.58,13.36,17783018.46,23.02,3.54,0.12,3719182441.1
ALPA4,7.8,0.0,43.86,0.93,0.63,46.1,4.81,2.9,26.49,30.97,3.12,0.11,1.27,2.34,-1.13,2.52,2.11,1.43,1.62,0.68,0.32,0.49,2.36,-19.63,65924199.81,8.43,0.18,-0.53,5599493882.8
ALUP4,8.79,4.66,8.41,0.75,0.28,81.93,74.76,23.96,2.7,5.85,3.14,0.87,2.02,2.74,-0.34,2.1,8.86,3.29,11.93,0.37,0.63,0.14,20.04,22.65,269068.19,11.8,1.04,-0.48,7771343485.36
AZEV4,1.32,0.0,8.8,0.82,0.21,5.05,-3.09,3.59,-10.22,-13.47,-3.09,0.25,0.32,-3.17,-0.3,0.83,9.28,2.33,-25.37,0.25,0.75,0.65,-8.87,0.0,733902.46,1.62,0.15,-0.1,103470601.44
AZUL4,11.22,0.0,-19.64,-0.75,0.76,17.47,8.96,-4.53,9.93,18.51,15.77,0.0,0.89,-1.39,-1.02,0.32,-3.8,-3.86,33.94,-1.02,2.02,0.85,15.41,0.0,212406124.08,-15.03,-0.57,0.24,3904667810.44
BALM4,9.8,3.65,3.73,0.7,0.42,57.07,15.53,17.43,4.19,3.38,-0.83,-0.14,0.65,0.94,-1.34,2.93,18.9,11.35,12.7,0.6,0.4,0.65,3.42,53.56,5341.76,13.9,2.63,0.02,96530000.0
BAUH4,80.15,0.0,45.93,3.89,2.53,20.99,1.84,4.97,123.98,123.95,-0.03,0.0,2.28,90.13,-3.68,1.1,8.46,5.51,-1.98,0.65,0.35,1.11,5.51,3.46,31122.0,20.62,1.75,-0.86,418561093.3
BBDC4,12.5,8.06,6.27,0.84,0.07,36.23,11.76,10.3,5.49,5.21,0.0,0.0,0.65,1.27,-0.08,8.86,13.37,1.18,0.0,0.09,0.91,0.11,8.37,4.42,750510911.03,14.92,1.99,1.83,126097731764.7
BDLL4,8.8,0.0,2.56,-0.07,0.02,-49.16,-112.68,21.92,-0.5,-6.59,-6.04,0.0,0.56,-0.14,-0.04,0.74,-2.79,0.8,-357.89,-0.29,1.29,0.04,-39.65,0.0,5048.5,-123.47,3.44,-0.02,15658699.2
BEES4,7.0,8.42,6.4,1.11,0.06,26.05,10.64,7.23,4.34,4.02,0.0,0.0,0.46,0.5,-0.07,0.0,17.36,0.94,0.0,0.05,0.95,0.13,12.53,15.62,37738.16,6.31,1.09,0.18,2047375760.0
BGIP4,17.0,14.51,3.44,0.44,0.03,35.9,8.36,7.03,2.89,3.53,0.0,0.0,0.24,-0.2,-0.07,0.75,12.68,0.97,0.0,0.08,0.92,0.14,8.79,-2.49,120620.62,38.96,4.94,-0.35,317089192.05
BIDI4,3.41,0.0,-234.18,1.06,0.23,50.04,-13.62,-5.22,-89.72,-91.21,0.0,0.0,12.22,0.0,-0.24,0.0,-0.45,-0.1,0.0,0.22,0.78,0.02,5.8,0.0,44223197.08,3.22,-0.01,0.12,8991139764.53
BLUT4,1.52,0.0,-1.66,0.14,0.04,0.0,0.0,0.0,-1.82,-4.91,-1.59,0.12,0.0,-0.32,-0.04,0.0,-8.15,-2.46,-6.65,0.3,0.7,0.0,0.0,0.0,224305.0,11.21,-0.91,0.06,14115600.06
BMEB4,10.04,5.4,5.27,0.77,0.07,53.83,7.19,5.46,4.0,4.15,0.0,0.0,0.29,0.58,-0.08,0.0,14.67,1.29,0.0,0.09,0.91,0.24,5.94,22.46,54279.41,13.0,1.91,0.76,1092254067.04
BMGB4,1.98,18.45,19.14,0.28,0.03,41.43,-3.97,0.96,-4.6,-4.6,0.0,0.0,0.18,0.0,-0.03,0.0,1.46,0.14,0.0,0.09,0.91,0.14,19.34,37.39,2186267.68,7.08,0.1,-0.25,1154800173.78
BMIN4,12.0,10.06,5.93,0.44,0.23,53.4,31.05,23.54,4.5,5.92,0.0,0.0,1.4,85.4,-0.23,0.0,7.39,3.9,0.0,0.53,0.47,0.17,16.78,0.0,9389.06,27.38,2.02,0.03,76214403.65
BOBR4,1.15,0.0,13.27,-1.92,0.35,34.71,10.72,1.54,1.9,3.23,2.34,0.0,0.2,-1.37,-0.66,0.65,-14.51,2.61,61.29,-0.18,1.18,1.7,6.05,-29.19,17341.3,-0.6,0.09,-0.2,141328631.3
BPAN4,4.6,6.06,8.76,0.82,0.11,52.6,6.81,5.66,7.28,7.28,0.0,0.0,0.5,0.0,-0.11,0.0,9.38,1.2,0.0,0.13,0.87,0.21,8.24,43.43,17079696.97,5.6,0.52,-0.39,5856716637.4
BRAP4,25.59,12.78,1.69,1.28,1.27,0.0,0.0,0.0,1.71,1.5,-0.14,-0.11,0.0,12.61,-1.43,9.56,75.82,74.92,74.47,0.99,0.01,0.0,0.0,56.67,70717443.14,19.93,15.11,0.19,9715747403.88
BRIV4,9.02,6.88,6.69,0.47,0.03,16.44,6.0,4.07,4.53,4.57,0.0,0.0,0.27,0.64,-0.03,18.27,7.04,0.45,0.0,0.06,0.94,0.11,20.48,19.19,12366.19,19.15,1.35,0.0,806129944.45
BSLI4,11.2,1.92,13.28,1.83,0.1,32.92,5.2,5.54,14.13,15.59,0.0,0.0,0.74,-0.36,-0.11,0.19,13.75,0.76,0.0,0.06,0.94,0.14,17.77,3.79,5841.96,6.14,0.84,-0.29,4486340550.0
CALI4,50.0,8.64,26.58,7.87,0.82,23.54,11.81,4.69,10.56,6.0,4.1,3.06,1.25,4.08,-1.67,1.65,29.6,3.08,13.16,0.1,0.9,0.66,65.29,8.74,0.0,6.36,1.88,-4.25,33488739.0
CAMB4,6.25,3.3,4.67,1.54,0.68,44.98,20.25,12.86,2.96,3.38,1.11,0.58,0.6,3.51,-1.3,1.7,33.1,14.65,30.44,0.44,0.56,1.14,11.16,4.83,0.0,4.05,1.34,0.04,202074882.4
CASN4,8.37,0.46,81.5,4.3,1.88,43.68,16.23,7.31,36.72,58.15,6.9,0.81,5.96,-74.73,-2.14,0.83,5.28,2.3,4.87,0.44,0.56,0.32,5.83,28.01,0.0,1.95,0.1,-2.7,11094218905.01
CEDO4,3.33,0.0,-1.59,0.32,0.04,13.78,4.03,-1.73,0.68,5.52,4.54,2.16,0.03,-0.34,-0.08,0.83,-20.39,-2.38,13.44,0.12,0.87,1.38,13.54,0.0,5362.9,10.28,-2.1,0.01,47396546.88
CEED4,35.0,0.0,9.35,-0.86,0.38,18.16,7.89,5.56,6.59,11.48,5.66,0.0,0.52,1002.06,-0.57,1.0,-9.22,4.11,-284.64,-0.45,1.45,0.74,12.08,0.0,3500.0,-40.61,3.74,-0.07,2109749794.4
CGRA4,25.53,13.24,4.15,0.59,0.42,54.49,13.99,17.45,5.17,3.97,-1.31,-0.15,0.72,1.6,-0.76,2.45,14.31,10.16,9.5,0.71,0.29,0.58,9.76,14.16,174506.3,43.02,6.15,-0.13,504176511.8
CLSC4,48.0,10.71,5.67,0.64,0.16,13.36,6.71,4.19,3.55,5.93,2.47,0.45,0.24,3.28,-0.23,1.19,11.26,2.79,8.32,0.25,0.75,0.66,13.22,0.0,161342.49,75.16,8.46,-0.11,1805320771.11
CMIG4,10.46,14.65,5.66,1.09,0.42,16.75,13.08,11.65,5.04,7.28,1.44,0.31,0.66,7.35,-0.58,1.27,19.31,7.47,13.9,0.39,0.61,0.64,12.38,64.85,110443502.03,9.57,1.85,-4.52,26661424659.04
