Date,Open,High,Low,Close,Adjusted_close,Volume
2022-04-04,15.39,15.45,15.08,15.19,14.4297,21776800
2022-04-05,15.15,15.28,15.06,15.07,14.3157,11507000
2022-04-06,15.03,15.09,14.81,14.95,14.2017,15426600
2022-04-07,14.93,15.14,14.82,15.06,14.3062,21154100
2022-04-08,14.94,15.13,14.74,14.93,14.1827,22123900
2022-04-11,14.82,15.44,14.74,15.2,14.4392,27166700
2022-04-12,15.41,15.54,14.98,15.05,14.2967,24586300
2022-04-13,15.01,15.12,14.55,14.83,14.0877,33744500
2022-04-14,14.84,14.91,14.46,14.7,13.9642,28794400
2022-04-18,14.62,14.8,14.6,14.71,13.9737,14384000
2022-04-19,14.56,14.76,14.41,14.65,13.9167,25946800
2022-04-20,14.7,15.02,14.56,14.73,13.9927,16066400
2022-04-22,14.55,14.98,14.55,14.75,14.0117,34025600
2022-04-25,14.76,15.19,14.63,15.12,14.3632,34243300
2022-04-26,15.04,15.15,14.74,14.75,14.0117,23506900
2022-04-27,14.89,14.91,14.64,14.68,13.9452,19236300
2022-04-28,14.71,14.87,14.62,14.71,13.9737,24779700
2022-04-29,14.85,15,14.52,14.52,13.7932,26021800
2022-05-02,14.58,14.71,14.32,14.47,13.7457,22723300
2022-05-03,14.45,14.7,14.16,14.24,13.5273,21370100
2022-05-04,14.12,14.42,14.01,14.34,13.6222,23600800
2022-05-05,14.33,14.33,13.62,13.73,13.0428,41048100
2022-05-06,13.73,13.83,13.53,13.53,12.8528,21898600
2022-05-09,13.4,13.85,13.37,13.69,13.0048,26037600
2022-05-10,13.81,14.03,13.72,13.73,13.0428,16288300
2022-05-11,13.72,14.16,13.64,13.95,13.2518,29950600
2022-05-12,13.86,14.5,13.79,14.48,13.7552,27039600
2022-05-13,14.55,14.67,14.45,14.54,13.8122,13366100
2022-05-16,14.53,14.85,14.41,14.69,13.9547,16888500
2022-05-17,14.84,14.89,14.67,14.73,13.9927,13659500
2022-05-18,14.72,14.82,14.18,14.22,13.5083,29498400
2022-05-19,14.25,14.31,13.96,14.14,13.4323,19507900
2022-05-20,14.25,14.29,13.83,14.02,13.3183,24498500
2022-05-23,14.14,14.14,13.85,14.08,13.3753,21433700
2022-05-24,14,14.19,13.85,14.13,13.4228,21811200
2022-05-25,14.12,14.13,13.91,14.04,13.3373,15751600
2022-05-26,14.04,14.28,13.98,14.21,13.4988,17298800
2022-05-27,14.18,14.37,14.04,14.21,13.4988,14257400
2022-05-30,14.3,14.38,14.01,14.09,13.3848,7860300
2022-05-31,14.17,14.27,14.06,14.19,13.4798,28020000
2022-06-01,14.14,14.24,14.05,14.12,13.4133,15209800
2022-06-02,14.29,14.3,13.88,14.12,13.4133,14878100
2022-06-03,14.1,14.32,14.04,14.08,13.3753,20743400
